aksara_lontara,aksara_latin
ᨄᨄᨔᨗᨒᨕᨗᨂᨛ,pappasilaingeng
ᨄᨄᨙᨄᨌᨗ,pappèppaccing
ᨄᨑᨁᨛᨑᨄᨛ,paragerape
ᨄᨑᨛᨒᨘ,parellu
ᨄᨑᨛᨒᨘᨕᨙ,parelluè
ᨄᨑᨙᨈᨊ,parentana
ᨄᨑᨚᨉ,parronda
ᨄᨔᨕᨙ,pasa’è
ᨄᨔᨒᨛ,passaleng
ᨄᨔᨒᨛᨊ,passalenna
ᨕᨔᨒᨛᨊ,assalenna
ᨄᨔᨙᨒᨙ,passèllè’
ᨄᨔᨛᨑᨗ,passerring
ᨄᨈᨗᨆ,patimah
ᨄᨈᨋ,pattanra
ᨄᨈᨛᨒᨑᨛ,pattellareng
ᨄᨕᨘᨒᨙ,paullè
ᨄᨕᨘᨓᨂᨗ,pauwwangngi
ᨄᨓ,pawang
ᨄᨛᨉᨗ,peddi’
ᨄᨙᨍᨛᨄᨘᨕᨗ,pèjeppui
ᨄᨙᨀᨚᨁᨗ,pèkkogi
ᨄᨙᨀᨚᨈᨚᨁᨗ,pèkkotogi
ᨄᨙᨂᨚᨑᨙᨅᨊ,pèngorèbanang
ᨄᨛᨑᨙᨔᨚᨊ,perèsona
ᨄᨛᨑᨛᨈᨆ,peretama
ᨄᨙᨑᨙ,pèrrè
ᨄᨛᨈ,petta
ᨄᨗᨒᨚᨔᨚᨄᨗ,pilosopi
ᨄᨗᨒᨚᨔᨚᨄᨗᨊ,pilosopina
ᨄᨗᨈᨘᨄᨘᨒᨚ,pituppulo
ᨄᨚ,po
ᨄᨚᨕᨉ,poada
ᨄᨚᨕᨊ,poana’
ᨄᨚᨌᨚᨌᨚᨕᨙ,pococoè
ᨄᨚᨒᨀᨕᨗ,polakkai
ᨄᨚᨒᨙ,polè
ᨄᨚᨒᨙᨕᨗ,polèi
ᨄᨚᨊᨙᨆᨛ,ponème
ᨄᨚᨊᨙ,ponèng
ᨄᨚ,pong
ᨄᨚᨁᨓᨊ,pongawana
ᨄᨚᨂᨙ,pongè
ᨄᨑᨚᨊᨚᨆᨗᨊ,poronomina
ᨄᨚᨔᨗᨑᨗ,posiri’
ᨄᨘᨌᨛᨕᨙ,puce’è
ᨄᨘᨕᨙᨅᨚᨀᨚ,puèbokong
ᨄᨘᨕᨗᨔᨗᨕᨙ,puisiè
ᨄᨘᨕᨗᨔᨗᨊ,puisina
ᨄᨘᨊᨕᨗ,punnai
ᨄᨘᨑ,pura
ᨄᨘᨑᨊ,purana
ᨄᨘᨑᨊᨗ,purani
ᨄᨘᨑᨊᨗᨑᨚ,puraniro
ᨄᨘᨈᨋᨕᨗ,putanrai
